kraj,rok,płeć,wiek,IndicatorName,wartość
Bangladesh,1970,Female,15,Currently married by age of woman (Number),446515.2
Bangladesh,1970,Female,16,Currently married by age of woman (Number),446515.2
Bangladesh,1970,Female,17,Currently married by age of woman (Number),446515.2
Bangladesh,1970,Female,18,Currently married by age of woman (Number),446515.2
Bangladesh,1970,Female,19,Currently married by age of woman (Number),446515.2
Bangladesh,1970,Female,20,Currently married by age of woman (Number),476173.6
Bangladesh,1970,Female,21,Currently married by age of woman (Number),476173.6
Bangladesh,1970,Female,22,Currently married by age of woman (Number),476173.6
Bangladesh,1970,Female,23,Currently married by age of woman (Number),476173.6
Bangladesh,1970,Female,24,Currently married by age of woman (Number),476173.6
Bangladesh,1970,Female,25,Currently married by age of woman (Number),428222.2
Bangladesh,1970,Female,26,Currently married by age of woman (Number),428222.2
Bangladesh,1970,Female,27,Currently married by age of woman (Number),428222.2
Bangladesh,1970,Female,28,Currently married by age of woman (Number),428222.2
Bangladesh,1970,Female,29,Currently married by age of woman (Number),428222.2
Bangladesh,1970,Female,30,Currently married by age of woman (Number),359308.2
Bangladesh,1970,Female,31,Currently married by age of woman (Number),359308.2
Bangladesh,1970,Female,32,Currently married by age of woman (Number),359308.2
Bangladesh,1970,Female,33,Currently married by age of woman (Number),359308.2
Bangladesh,1970,Female,34,Currently married by age of woman (Number),359308.2
Bangladesh,1970,Female,35,Currently married by age of woman (Number),296068.8
Bangladesh,1970,Female,36,Currently married by age of woman (Number),296068.8
Bangladesh,1970,Female,37,Currently married by age of woman (Number),296068.8
Bangladesh,1970,Female,38,Currently married by age of woman (Number),296068.8
Bangladesh,1970,Female,39,Currently married by age of woman (Number),296068.8
Bangladesh,1970,Female,40,Currently married by age of woman (Number),231809.0
Bangladesh,1970,Female,41,Currently married by age of woman (Number),231809.0
Bangladesh,1970,Female,42,Currently married by age of woman (Number),231809.0
Bangladesh,1970,Female,43,Currently married by age of woman (Number),231809.0
Bangladesh,1970,Female,44,Currently married by age of woman (Number),231809.0
Bangladesh,1970,Female,45,Currently married by age of woman (Number),182142.2
Bangladesh,1970,Female,46,Currently married by age of woman (Number),182142.2
Bangladesh,1970,Female,47,Currently married by age of woman (Number),182142.2
Bangladesh,1970,Female,48,Currently married by age of woman (Number),182142.2
Bangladesh,1970,Female,49,Currently married by age of woman (Number),182142.2
Bangladesh,1971,Female,15,Currently married by age of woman (Number),463627.4
Bangladesh,1971,Female,16,Currently married by age of woman (Number),463627.4
Bangladesh,1971,Female,17,Currently married by age of woman (Number),463627.4
Bangladesh,1971,Female,18,Currently married by age of woman (Number),463627.4
Bangladesh,1971,Female,19,Currently married by age of woman (Number),463627.4
Bangladesh,1971,Female,20,Currently married by age of woman (Number),481386.0
Bangladesh,1971,Female,21,Currently married by age of woman (Number),481386.0
Bangladesh,1971,Female,22,Currently married by age of woman (Number),481386.0
Bangladesh,1971,Female,23,Currently married by age of woman (Number),481386.0
Bangladesh,1971,Female,24,Currently married by age of woman (Number),481386.0
Bangladesh,1971,Female,25,Currently married by age of woman (Number),435423.6
Bangladesh,1971,Female,26,Currently married by age of woman (Number),435423.6
Bangladesh,1971,Female,27,Currently married by age of woman (Number),435423.6
Bangladesh,1971,Female,28,Currently married by age of woman (Number),435423.6
Bangladesh,1971,Female,29,Currently married by age of woman (Number),435423.6
Bangladesh,1971,Female,30,Currently married by age of woman (Number),364651.2
Bangladesh,1971,Female,31,Currently married by age of woman (Number),364651.2
Bangladesh,1971,Female,32,Currently married by age of woman (Number),364651.2
Bangladesh,1971,Female,33,Currently married by age of woman (Number),364651.2
Bangladesh,1971,Female,34,Currently married by age of woman (Number),364651.2
Bangladesh,1971,Female,35,Currently married by age of woman (Number),299903.0
Bangladesh,1971,Female,36,Currently married by age of woman (Number),299903.0
Bangladesh,1971,Female,37,Currently married by age of woman (Number),299903.0
Bangladesh,1971,Female,38,Currently married by age of woman (Number),299903.0
Bangladesh,1971,Female,39,Currently married by age of woman (Number),299903.0
Bangladesh,1971,Female,40,Currently married by age of woman (Number),234960.4
Bangladesh,1971,Female,41,Currently married by age of woman (Number),234960.4
Bangladesh,1971,Female,42,Currently married by age of woman (Number),234960.4
Bangladesh,1971,Female,43,Currently married by age of woman (Number),234960.4
Bangladesh,1971,Female,44,Currently married by age of woman (Number),234960.4
Bangladesh,1971,Female,45,Currently married by age of woman (Number),185418.0
Bangladesh,1971,Female,46,Currently married by age of woman (Number),185418.0
Bangladesh,1971,Female,47,Currently married by age of woman (Number),185418.0
Bangladesh,1971,Female,48,Currently married by age of woman (Number),185418.0
Bangladesh,1971,Female,49,Currently married by age of woman (Number),185418.0
Bangladesh,1972,Female,15,Currently married by age of woman (Number),479449.6
